64040, 0
330207, 0
197138, 0
488061, 0
1.57453e+06, 0
373795, 0
167521, 0
26156, 0
65438, 0
1.44034e+06, 0
629302, 0
101975, 0
185671, 0
116157, 0
570264, 0
380690, 0
176444, 0
267594, 0
243335, 0
303534, 0
365356, 0
103776, 0
549526, 0
300044, 0
401779, 0
165538, 0
85350, 0
659584, 0
46067, 0
117466, 0
96098, 0
321991, 0
144977, 0
207767, 0
705924, 0
709287, 0
270775, 0
283045, 0
759474, 0
54121, 0
365139, 0
57057, 0
431274, 0
1.45345e+06, 0
120447, 0
677533, 0
36988, 0
529784, 0
331340, 0
130536, 0
44999, 0
